prodi_id,nama_prodi_spesifik,alias,kelompok_prodi_resmi,rumpun_ilmu,mapel_kurmer,mapel_k13_ipa,mapel_k13_ips,mapel_k13_bahasa,confidence_score,catatan_mapping,sumber_mapel
P0119,Informatika,,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0120,Teknik Informatika,Informatics Engineering,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.95,Sebagian kampus menempatkan sebagai teknik; mapel komputer dipakai sebagai default.,Kepmendikdasmen 102/M/2025
P0121,Sistem Informasi,Information Systems,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0122,Teknologi Informasi,Information Technology,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0123,Sistem dan Teknologi Informasi,,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0124,Rekayasa Perangkat Lunak,Software Engineering,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0125,Teknologi Komputer,,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0126,Sistem Komputer,,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.9,Bisa juga Teknik/Rekayasa.,Kepmendikdasmen 102/M/2025
P0127,Kecerdasan Artifisial,Artificial Intelligence; AI; Prodiska,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.95,"Contoh kampus: UI/Fasilkom; prodi baru, tetap verifikasi SNPMB/PDDikti.",Kepmendikdasmen 102/M/2025
P0128,Kecerdasan Buatan,Artificial Intelligence,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0129,AI and Robotics,Kecerdasan Artifisial dan Robotika,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.85,Bisa juga Teknik/Rekayasa.,Kepmendikdasmen 102/M/2025
P0130,Keamanan Siber,Cyber Security,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0131,Keamanan Sistem Informasi,,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.9,,Kepmendikdasmen 102/M/2025
P0132,Teknologi Game,Game Technology,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.9,,Kepmendikdasmen 102/M/2025
P0133,Cloud Computing,Komputasi Awan,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.85,,Kepmendikdasmen 102/M/2025
P0134,Internet of Things,IoT Engineering,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.85,Bisa juga Teknik/Rekayasa.,Kepmendikdasmen 102/M/2025
P0135,Manajemen Informatika,,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.85,Bisa juga Ilmu/Sains Informasi.,Kepmendikdasmen 102/M/2025
P0136,E-Commerce,Perdagangan Elektronik,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.8,Bisa juga Bisnis.,Kepmendikdasmen 102/M/2025
P0137,Digital Business Technology,,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.8,Bisa juga Bisnis.,Kepmendikdasmen 102/M/2025
P0138,Logika,,Logika,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0139,Logika dan Filsafat Sains,,Logika,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.85,Bisa juga Filsafat.,Kepmendikdasmen 102/M/2025
P0140,Matematika,Matematika Murni,Matematika,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0141,Matematika Terapan,,Matematika,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0142,Matematika Komputasi,,Matematika,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0143,Matematika Industri,,Matematika,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0144,Matematika Bisnis,,Matematika,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.9,Bisa juga Ekonomi.,Kepmendikdasmen 102/M/2025
P0145,Matematika Keuangan,,Matematika,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.9,Bisa juga Ekonomi.,Kepmendikdasmen 102/M/2025
P0146,Statistika,,Matematika,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0147,Statistika Terapan,,Matematika,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0148,Statistika Bisnis,,Matematika,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.9,Bisa juga Bisnis.,Kepmendikdasmen 102/M/2025
P0149,Aktuaria,Ilmu Aktuaria; Sains Aktuaria,Matematika,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0150,Komputasi Statistik,,Matematika,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,0.9,Bisa juga Sains Data.,Kepmendikdasmen 102/M/2025
P0151,Agronomi,,Ilmu dan Sains Pertanian,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,1.0,,Kepmendikdasmen 102/M/2025
P0152,Agroteknologi,Agroekoteknologi,Ilmu dan Sains Pertanian,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,1.0,,Kepmendikdasmen 102/M/2025
P0153,Ilmu Tanah,,Ilmu dan Sains Pertanian,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,1.0,,Kepmendikdasmen 102/M/2025
P0154,Proteksi Tanaman,,Ilmu dan Sains Pertanian,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,1.0,,Kepmendikdasmen 102/M/2025
P0155,Pemuliaan Tanaman,,Ilmu dan Sains Pertanian,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,1.0,,Kepmendikdasmen 102/M/2025
P0156,Hama dan Penyakit Tumbuhan,,Ilmu dan Sains Pertanian,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.95,,Kepmendikdasmen 102/M/2025
P0157,Agribisnis,,Ilmu dan Sains Pertanian,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.85,Bisa juga Bisnis/Ekonomi.,Kepmendikdasmen 102/M/2025
P0158,Penyuluhan Pertanian,,Ilmu dan Sains Pertanian,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.85,Bisa juga Pendidikan.,Kepmendikdasmen 102/M/2025
P0159,Teknik Pertanian,,Ilmu dan Sains Pertanian,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.8,Bisa juga Teknik/Rekayasa.,Kepmendikdasmen 102/M/2025
P0160,Teknik Biosistem,,Ilmu dan Sains Pertanian,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.8,Bisa juga Teknik/Rekayasa.,Kepmendikdasmen 102/M/2025
P0161,Mekanisasi Pertanian,,Ilmu dan Sains Pertanian,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.8,Bisa juga Teknik/Rekayasa.,Kepmendikdasmen 102/M/2025
P0162,Rekayasa Pertanian,,Ilmu dan Sains Pertanian,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.8,Bisa juga Teknik/Rekayasa.,Kepmendikdasmen 102/M/2025
P0163,Peternakan,Ilmu Peternakan,Peternakan,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,1.0,,Kepmendikdasmen 102/M/2025
P0164,Nutrisi dan Teknologi Pakan,,Peternakan,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.95,,Kepmendikdasmen 102/M/2025
P0165,Produksi Ternak,,Peternakan,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.95,,Kepmendikdasmen 102/M/2025
P0166,Sosial Ekonomi Peternakan,,Peternakan,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.85,Bisa juga Ekonomi.,Kepmendikdasmen 102/M/2025
P0167,Perikanan,Ilmu Perikanan,Ilmu atau Sains Perikanan,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,1.0,,Kepmendikdasmen 102/M/2025
P0168,Budidaya Perairan,Akuakultur,Ilmu atau Sains Perikanan,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,1.0,,Kepmendikdasmen 102/M/2025
P0169,Manajemen Sumber Daya Perairan,,Ilmu atau Sains Perikanan,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.95,,Kepmendikdasmen 102/M/2025
P0170,Pemanfaatan Sumber Daya Perikanan,,Ilmu atau Sains Perikanan,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.95,,Kepmendikdasmen 102/M/2025
P0171,Teknologi Penangkapan Ikan,,Ilmu atau Sains Perikanan,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.9,,Kepmendikdasmen 102/M/2025
P0172,Agrobisnis Perikanan,,Ilmu atau Sains Perikanan,Ilmu Terapan,Biologi,Biologi,Biologi,Biologi,0.85,Bisa juga Bisnis.,Kepmendikdasmen 102/M/2025
P0173,Arsitektur,,Arsitektur,Ilmu Terapan,Matematika dan/atau Fisika,Matematika dan/atau Fisika,Matematika dan/atau Fisika,Matematika dan/atau Fisika,1.0,,Kepmendikdasmen 102/M/2025
P0174,Arsitektur Lanskap,,Arsitektur,Ilmu Terapan,Matematika dan/atau Fisika,Matematika dan/atau Fisika,Matematika dan/atau Fisika,Matematika dan/atau Fisika,0.95,,Kepmendikdasmen 102/M/2025
P0175,Arsitektur Interior,,Arsitektur,Ilmu Terapan,Matematika dan/atau Fisika,Matematika dan/atau Fisika,Matematika dan/atau Fisika,Matematika dan/atau Fisika,0.9,Bisa juga Desain.,Kepmendikdasmen 102/M/2025
P0176,Perencanaan Wilayah dan Kota,PWK; Planologi,Perencanaan Wilayah,Ilmu Terapan,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0177,Perencanaan Wilayah,,Perencanaan Wilayah,Ilmu Terapan,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0178,Perencanaan Kota,,Perencanaan Wilayah,Ilmu Terapan,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0179,Pembangunan Wilayah,,Perencanaan Wilayah,Ilmu Terapan,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,0.9,,Kepmendikdasmen 102/M/2025
P0180,Pengembangan Wilayah,,Perencanaan Wilayah,Ilmu Terapan,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,0.9,,Kepmendikdasmen 102/M/2025
P0181,Desain Komunikasi Visual,DKV,Desain,Ilmu Terapan,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,1.0,Sering butuh portofolio sesuai aturan kampus/SNPMB.,Kepmendikdasmen 102/M/2025
P0182,Desain Interior,,Desain,Ilmu Terapan,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0183,Desain Produk,,Desain,Ilmu Terapan,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0184,Desain Industri,,Desain,Ilmu Terapan,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0185,Desain Grafis,,Desain,Ilmu Terapan,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0186,Desain Mode,Fashion Design,Desain,Ilmu Terapan,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0187,Animasi,,Desain,Ilmu Terapan,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,0.85,Bisa juga Seni/Komputer.,Kepmendikdasmen 102/M/2025
P0188,Animasi Digital,,Desain,Ilmu Terapan,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,0.85,Bisa juga Komputer.,Kepmendikdasmen 102/M/2025
P0189,Tata Busana,,Desain,Ilmu Terapan,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,0.8,Bisa juga Pendidikan/Seni.,Kepmendikdasmen 102/M/2025
P0190,Tata Rias,,Desain,Ilmu Terapan,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,Seni Budaya dan/atau Matematika,0.8,Bisa juga Pendidikan/Seni.,Kepmendikdasmen 102/M/2025
P0191,Akuntansi,Accounting,Ilmu atau Sains Akuntansi,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,1.0,,Kepmendikdasmen 102/M/2025
P0192,Akuntansi Sektor Publik,,Ilmu atau Sains Akuntansi,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.95,,Kepmendikdasmen 102/M/2025
P0193,Akuntansi Perpajakan,,Ilmu atau Sains Akuntansi,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.95,,Kepmendikdasmen 102/M/2025
P0194,Akuntansi Keuangan,,Ilmu atau Sains Akuntansi,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.95,,Kepmendikdasmen 102/M/2025
P0195,Akuntansi Manajerial,,Ilmu atau Sains Akuntansi,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.95,,Kepmendikdasmen 102/M/2025
P0196,Komputerisasi Akuntansi,,Ilmu atau Sains Akuntansi,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.85,Bisa juga Komputer.,Kepmendikdasmen 102/M/2025
P0197,Sistem Informasi Akuntansi,,Ilmu atau Sains Akuntansi,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.85,Bisa juga Komputer.,Kepmendikdasmen 102/M/2025
P0198,Perpajakan,Pajak,Ilmu atau Sains Akuntansi,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.85,,Kepmendikdasmen 102/M/2025
P0199,Akuntansi Syariah,,Ilmu atau Sains Akuntansi,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.85,,Kepmendikdasmen 102/M/2025
P0200,Manajemen,Management,Ilmu atau Sains Manajemen,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,1.0,,Kepmendikdasmen 102/M/2025
P0201,Manajemen Bisnis,,Ilmu atau Sains Manajemen,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,1.0,,Kepmendikdasmen 102/M/2025
P0202,Manajemen Keuangan,,Ilmu atau Sains Manajemen,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.95,,Kepmendikdasmen 102/M/2025
P0203,Manajemen Pemasaran,,Ilmu atau Sains Manajemen,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.95,,Kepmendikdasmen 102/M/2025
P0204,Manajemen Sumber Daya Manusia,Manajemen SDM,Ilmu atau Sains Manajemen,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.95,,Kepmendikdasmen 102/M/2025
P0205,Manajemen Operasi,,Ilmu atau Sains Manajemen,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.95,,Kepmendikdasmen 102/M/2025
P0206,Manajemen Strategi,,Ilmu atau Sains Manajemen,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.95,,Kepmendikdasmen 102/M/2025
P0207,Manajemen Risiko,,Ilmu atau Sains Manajemen,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.95,,Kepmendikdasmen 102/M/2025
P0208,Manajemen Retail,,Ilmu atau Sains Manajemen,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.9,,Kepmendikdasmen 102/M/2025
P0209,Manajemen Aset,,Ilmu atau Sains Manajemen,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.9,,Kepmendikdasmen 102/M/2025
P0210,Manajemen Pendidikan,,Ilmu atau Sains Manajemen,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.8,Bisa juga Pendidikan.,Kepmendikdasmen 102/M/2025
P0211,Manajemen Rumah Sakit,,Ilmu atau Sains Manajemen,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.8,Bisa juga Kesehatan.,Kepmendikdasmen 102/M/2025
P0212,Logistik,,Logistik,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,1.0,,Kepmendikdasmen 102/M/2025
P0213,Manajemen Logistik,,Logistik,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,1.0,,Kepmendikdasmen 102/M/2025
P0214,Logistik Perdagangan Internasional,,Logistik,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.95,,Kepmendikdasmen 102/M/2025
P0215,Supply Chain Management,Manajemen Rantai Pasok,Logistik,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.95,,Kepmendikdasmen 102/M/2025
P0216,Manajemen Pelabuhan,,Logistik,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.85,Bisa juga Transportasi.,Kepmendikdasmen 102/M/2025
P0217,Ketatalaksanaan Pelayaran Niaga,,Logistik,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.85,Bisa juga Transportasi.,Kepmendikdasmen 102/M/2025
P0218,Administrasi Bisnis,Administrasi Niaga,Administrasi Bisnis,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,1.0,,Kepmendikdasmen 102/M/2025
P0219,Administrasi Perkantoran,,Administrasi Bisnis,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.85,Bisa juga Pendidikan bila prodi kependidikan.,Kepmendikdasmen 102/M/2025
P0220,Administrasi Asuransi dan Aktuaria,,Administrasi Bisnis,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.8,Bisa juga Bisnis/Matematika.,Kepmendikdasmen 102/M/2025
P0221,Bisnis,,Bisnis,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,1.0,,Kepmendikdasmen 102/M/2025
P0222,Bisnis Digital,Digital Business,Bisnis,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,1.0,,Kepmendikdasmen 102/M/2025
P0223,Bisnis Internasional,,Bisnis,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,1.0,,Kepmendikdasmen 102/M/2025
P0224,Kewirausahaan,Entrepreneurship,Bisnis,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,1.0,,Kepmendikdasmen 102/M/2025
P0225,Manajemen Bisnis Syariah,,Bisnis,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.9,,Kepmendikdasmen 102/M/2025
P0226,Teknologi Finansial,Fintech,Bisnis,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.85,Bisa juga Komputer.,Kepmendikdasmen 102/M/2025
P0227,Asuransi,,Bisnis,Ilmu Terapan,Ekonomi,Matematika dan/atau Ekonomi,Ekonomi,Matematika dan/atau Ekonomi,0.85,,Kepmendikdasmen 102/M/2025
P0228,Ilmu Komunikasi,Komunikasi,Ilmu atau Sains Komunikasi,Ilmu Terapan,Sosiologi dan/atau Antropologi,Bahasa Indonesia dan/atau Sosiologi,Sosiologi,Antropologi dan/atau Sosiologi,1.0,,Kepmendikdasmen 102/M/2025
P0229,Jurnalistik,,Ilmu atau Sains Komunikasi,Ilmu Terapan,Sosiologi dan/atau Antropologi,Bahasa Indonesia dan/atau Sosiologi,Sosiologi,Antropologi dan/atau Sosiologi,1.0,,Kepmendikdasmen 102/M/2025
P0230,Broadcasting,Penyiaran,Ilmu atau Sains Komunikasi,Ilmu Terapan,Sosiologi dan/atau Antropologi,Bahasa Indonesia dan/atau Sosiologi,Sosiologi,Antropologi dan/atau Sosiologi,1.0,,Kepmendikdasmen 102/M/2025
P0231,Public Relations,Hubungan Masyarakat; PR,Ilmu atau Sains Komunikasi,Ilmu Terapan,Sosiologi dan/atau Antropologi,Bahasa Indonesia dan/atau Sosiologi,Sosiologi,Antropologi dan/atau Sosiologi,1.0,,Kepmendikdasmen 102/M/2025
P0232,Komunikasi Digital,,Ilmu atau Sains Komunikasi,Ilmu Terapan,Sosiologi dan/atau Antropologi,Bahasa Indonesia dan/atau Sosiologi,Sosiologi,Antropologi dan/atau Sosiologi,0.95,,Kepmendikdasmen 102/M/2025
P0233,Media Digital,,Ilmu atau Sains Komunikasi,Ilmu Terapan,Sosiologi dan/atau Antropologi,Bahasa Indonesia dan/atau Sosiologi,Sosiologi,Antropologi dan/atau Sosiologi,0.95,,Kepmendikdasmen 102/M/2025
P0234,Manajemen Komunikasi,,Ilmu atau Sains Komunikasi,Ilmu Terapan,Sosiologi dan/atau Antropologi,Bahasa Indonesia dan/atau Sosiologi,Sosiologi,Antropologi dan/atau Sosiologi,0.95,,Kepmendikdasmen 102/M/2025
P0235,Komunikasi Penyiaran Islam,KPI,Ilmu atau Sains Komunikasi,Ilmu Terapan,Sosiologi dan/atau Antropologi,Bahasa Indonesia dan/atau Sosiologi,Sosiologi,Antropologi dan/atau Sosiologi,0.9,,Kepmendikdasmen 102/M/2025
P0236,Sains Komunikasi,,Ilmu atau Sains Komunikasi,Ilmu Terapan,Sosiologi dan/atau Antropologi,Bahasa Indonesia dan/atau Sosiologi,Sosiologi,Antropologi dan/atau Sosiologi,1.0,,Kepmendikdasmen 102/M/2025
P0237,Periklanan,Advertising,Ilmu atau Sains Komunikasi,Ilmu Terapan,Sosiologi dan/atau Antropologi,Bahasa Indonesia dan/atau Sosiologi,Sosiologi,Antropologi dan/atau Sosiologi,0.9,,Kepmendikdasmen 102/M/2025
P0238,Kajian Media,,Ilmu atau Sains Komunikasi,Ilmu Terapan,Sosiologi dan/atau Antropologi,Bahasa Indonesia dan/atau Sosiologi,Sosiologi,Antropologi dan/atau Sosiologi,0.9,Bisa juga Studi Humanitas.,Kepmendikdasmen 102/M/2025
P0239,Produksi Media,,Ilmu atau Sains Komunikasi,Ilmu Terapan,Sosiologi dan/atau Antropologi,Bahasa Indonesia dan/atau Sosiologi,Sosiologi,Antropologi dan/atau Sosiologi,0.85,Bisa juga Seni.,Kepmendikdasmen 102/M/2025
P0240,Pendidikan Guru Sekolah Dasar,PGSD,Pendidikan,Ilmu Terapan,Paling banyak 1 mata pelajaran pendukung yang relevan dengan program studi kependidikannya,Paling banyak 1 mata pelajaran pendukung yang relevan dengan program studi kependidikannya,Paling banyak 1 mata pelajaran pendukung yang relevan dengan program studi kependidikannya,Paling banyak 1 mata pelajaran pendukung yang relevan dengan program studi kependidikannya,1.0,Mapel pendukung mengikuti bidang kependidikan; umum Bahasa Indonesia/Matematika.,Kepmendikdasmen 102/M/2025
P0241,Pendidikan Guru Pendidikan Anak Usia Dini,PGPAUD; Pendidikan Anak Usia Dini,Pendidikan,Ilmu Terapan,Paling banyak 1 mata pelajaran pendukung yang relevan dengan program studi kependidikannya,Paling banyak 1 mata pelajaran pendukung yang relevan dengan program studi kependidikannya,Paling banyak 1 mata pelajaran pendukung yang relevan dengan program studi kependidikannya,Paling banyak 1 mata pelajaran pendukung yang relevan dengan program studi kependidikannya,1.0,Mapel relevan dengan PAUD.,Kepmendikdasmen 102/M/2025
